,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2022-23,19.1,85.0,2.6,21.0,2.0,acc,1.5,10.8,84.0,1.1,0.467,333.0,0.417,139.0,0.243,81.0,0.889,72.0,,,,948.0,0.5,2.6,21.0,1.0,78.0,16.2,makai-ashton-langford-1,383.0,376.0,Guard,2.8,45.0,boston-college,0.315,105.0,0.314,33.0,6.7,105.0,0.516,15.7,69.0,228.0,0.465,106.0,24.5,,2.1,0.089,Makai Ashton-Langford,Wake Forest
2022-23,16.3,90.0,0.5,5.0,0.3,acc,1.0,8.4,76.0,1.0,0.469,293.0,0.416,122.0,0.352,103.0,0.767,79.0,,,,1094.0,-0.8,3.0,28.0,1.1,78.0,13.4,jaeden-zackery-1,354.0,360.0,Guard,2.6,48.0,boston-college,0.328,96.0,0.323,31.0,5.7,104.0,0.518,16.0,65.0,197.0,0.462,91.0,19.6,,2.1,0.078,Jaeden Zackery,Wake Forest
2022-23,15.2,29.0,4.1,17.0,5.0,acc,0.1,19.6,79.0,0.5,0.596,204.0,0.539,110.0,0.245,50.0,0.86,43.0,,,,489.0,4.8,6.8,28.0,1.5,46.0,25.3,quinten-post-1,286.0,253.0,Forward,0.5,4.0,boston-college,0.265,54.0,0.426,23.0,13.1,107.0,0.628,14.6,39.0,150.0,0.58,87.0,28.8,,2.0,0.164,Quinten Post,Wake Forest
2022-23,10.7,30.0,4.9,24.0,3.1,acc,2.1,16.8,80.0,0.7,0.578,134.0,0.552,74.0,0.44,59.0,0.78,46.0,,,,577.0,1.0,10.1,49.0,1.4,86.0,19.6,devin-mcglockton-1,201.0,206.0,Forward,1.8,17.0,boston-college,0.104,14.0,0.5,7.0,13.4,129.0,0.62,15.6,30.0,120.0,0.558,67.0,17.6,,2.2,0.151,Devin McGlockton,Wake Forest
2022-23,7.7,28.0,1.2,7.0,-0.6,acc,0.4,13.7,79.0,0.6,0.453,192.0,0.349,67.0,0.125,24.0,0.75,18.0,,,,700.0,-1.0,1.4,8.0,0.2,38.0,9.5,mason-madsen-1,192.0,176.0,Guard,1.5,18.0,boston-college,0.688,132.0,0.303,40.0,7.5,87.0,0.472,10.6,24.0,60.0,0.45,27.0,17.1,,0.9,0.05,Mason Madsen,Wake Forest
2022-23,4.7,10.0,1.8,7.0,2.6,acc,0.9,14.4,55.0,0.5,0.566,145.0,0.503,73.0,0.2,29.0,0.414,12.0,,,,463.0,1.6,3.6,14.0,0.6,27.0,16.2,cj-penha-1,176.0,149.0,Forward,2.1,16.0,boston-college,0.414,60.0,0.3,18.0,8.9,69.0,0.554,9.2,16.0,85.0,0.647,55.0,19.9,,1.1,0.097,CJ Penha,Wake Forest
2022-23,12.7,40.0,3.4,18.0,1.3,acc,1.7,22.9,117.0,1.0,0.476,143.0,0.476,68.0,0.378,54.0,0.63,34.0,,,,620.0,-0.5,13.0,68.0,0.5,59.0,17.2,tj-bickerstaff-1,170.0,200.0,Forward,2.8,29.0,boston-college,0.007,1.0,0.0,0.0,17.9,185.0,0.504,20.7,44.0,142.0,0.479,68.0,18.1,,1.6,0.101,T.J. Bickerstaff,Wake Forest
2022-23,5.9,17.0,0.8,4.0,-3.9,acc,-1.0,18.9,89.0,0.6,0.41,167.0,0.371,62.0,0.275,46.0,0.63,29.0,,,,572.0,-2.9,6.0,29.0,-0.2,34.0,9.2,prince-aligbe-1,166.0,164.0,Forward,1.2,11.0,boston-college,0.287,48.0,0.271,13.0,12.4,118.0,0.44,15.6,35.0,119.0,0.412,49.0,20.6,,0.3,0.023,Prince Aligbe,Wake Forest
2022-23,12.5,42.0,1.1,6.0,-2.2,acc,-0.5,8.0,43.0,0.4,0.459,147.0,0.442,65.0,0.238,35.0,0.714,25.0,,,,651.0,-1.8,3.8,21.0,0.2,32.0,9.1,demarr-langfordjr-1,160.0,166.0,Guard,0.9,10.0,boston-college,0.129,19.0,0.263,5.0,5.9,64.0,0.489,18.0,36.0,128.0,0.469,60.0,16.2,,0.6,0.034,DeMarr Langford Jr.,Wake Forest
2022-23,15.5,37.0,1.6,6.0,-3.5,acc,0.1,6.6,24.0,0.3,0.432,95.0,0.347,33.0,0.126,12.0,0.5,6.0,,,,440.0,-3.6,0.8,3.0,-0.2,33.0,5.8,chas-kelley-iii-1,88.0,94.0,Guard,1.5,11.0,boston-college,0.589,56.0,0.286,16.0,3.7,27.0,0.437,20.5,26.0,39.0,0.436,17.0,15.2,,0.1,0.008,Chas Kelley III,Wake Forest
