player_unique,composite,player_name,ranking,autodraft,player_modifier,team_modifier,team_name,team_games_played,diff,sn_projected,kenpom_projected,538_projected,points_per_team_game,points,538_32,538_16,538_8,538_4,538_2,538_1,sn_32,sn_16,sn_8,sn_4,sn_2,sn_1,kenpom_32,kenpom_16,kenpom_8,kenpom_4,kenpom_2,kenpom_1,seed,region,overall_seed,wins,losses,games_played,conference_wins,conference_losses
zach-edey-1,#N/A,Zach Edey,1,661.875,1,#N/A,Purdue,#N/A,#N/A,#N/A,0,0,#N/A,706,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,EAST,4,28,5,33,15,5
jalen-wilson-1,#N/A,Jalen Wilson,2,640.3125,1,#N/A,Kansas,#N/A,#N/A,#N/A,0,0,#N/A,683,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,WEST,3,27,7,34,13,5
brandon-miller-3,#N/A,Brandon Miller,3,604.6875,1,#N/A,Alabama,#N/A,#N/A,#N/A,0,0,#N/A,645,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,SOUTH,1,28,5,33,16,2
azuolas-tubelis-1,#N/A,Azuolas Tubelis,4,588,1,#N/A,Arizona,#N/A,#N/A,#N/A,0,0,#N/A,672,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SOUTH,7,28,6,34,14,6
drew-timme-1,#N/A,Drew Timme,5,559.8125,1,#N/A,Gonzaga,#N/A,#N/A,#N/A,0,0,#N/A,689,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,WEST,10,28,5,33,14,2
marcus-sasser-1,#N/A,Marcus Sasser,6,527.8125,0.7,#N/A,Houston,#N/A,#N/A,#N/A,0,0,#N/A,563,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,MIDWEST,2,31,2,33,17,1
jaime-jaquezjr-1,#N/A,Jaime Jaquez Jr.,7,515.375,1,#N/A,UCLA,#N/A,#N/A,#N/A,0,0,#N/A,589,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,WEST,5,29,5,34,18,2
marcus-carr-2,#N/A,Marcus Carr,8,473.375,1,#N/A,Texas,#N/A,#N/A,#N/A,0,0,#N/A,541,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,MIDWEST,6,26,8,34,12,6
trayce-jackson-davis-1,#N/A,Trayce Jackson-Davis,9,467.25,1.3,#N/A,Indiana,#N/A,#N/A,#N/A,0,0,#N/A,623,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,MIDWEST,15,22,11,33,12,8
keyontae-johnson-1,#N/A,Keyontae Johnson,10,459.0625,1.2,#N/A,Kansas State,#N/A,#N/A,#N/A,0,0,#N/A,565,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,EAST,11,23,9,32,11,7
souley-boum-1,#N/A,Souley Boum,11,456.625,1,#N/A,Xavier,#N/A,#N/A,#N/A,0,0,#N/A,562,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,MIDWEST,12,25,9,34,15,5
gradey-dick-1,#N/A,Gradey Dick,12,450.9375,1,#N/A,Kansas,#N/A,#N/A,#N/A,0,0,#N/A,481,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,WEST,3,27,7,34,13,5
kam-jones-1,#N/A,Kameron Jones,13,445.375,1,#N/A,Marquette,#N/A,#N/A,#N/A,0,0,#N/A,509,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,EAST,8,28,6,34,17,3
markquis-nowell-1,#N/A,Markquis Nowell,14,437.9375,1,#N/A,Kansas State,#N/A,#N/A,#N/A,0,0,#N/A,539,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,EAST,11,23,9,32,11,7
oumar-ballo-1,#N/A,Oumar Ballo,15,422.625,0.8,#N/A,Arizona,#N/A,#N/A,#N/A,0,0,#N/A,483,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,SOUTH,7,28,6,34,14,6
colby-jones-1,#N/A,Colby Jones,16,408.6875,1,#N/A,Xavier,#N/A,#N/A,#N/A,0,0,#N/A,503,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,MIDWEST,12,25,9,34,15,5
adama-sanogo-1,#N/A,Adama Sanogo,17,408,1,#N/A,Connecticut,#N/A,#N/A,#N/A,0,0,#N/A,544,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,WEST,13,24,8,32,13,7
julian-strawther-1,#N/A,Julian Strawther,18,405.4375,1,#N/A,Gonzaga,#N/A,#N/A,#N/A,0,0,#N/A,499,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,WEST,10,28,5,33,14,2
tyger-campbell-1,#N/A,Tyger Campbell,19,405.125,1,#N/A,UCLA,#N/A,#N/A,#N/A,0,0,#N/A,463,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,WEST,5,29,5,34,18,2
keyonte-george-1,#N/A,Keyonte George,20,398.125,1,#N/A,Baylor,#N/A,#N/A,#N/A,0,0,#N/A,490,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,SOUTH,9,22,10,32,11,7
