,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
AKRON,AKRON,50.2,447,6,7,8.1,99,mac,5,13,898,0.526,1952,0.456,890,0.326,636,0.728,463,0.237,34,1,13,10,1365,Akron,,110.1,30.9,354,45.9,380,7.4,83,792,0.482,1939,0.427,827,0.279,541,0.686,371,0.191,,25.3,304,587,2239,9.0,205,0.372,721,0.297,214,1218,0.503,613,46.7,1096,0.51,15.1,390,67.0,563,2517,3.02,8.4,192,-2.52,0.428,835,0.328,274,1117,0.551,616,53.3,1252,0.558,14.7,389,0.706,24
ALABAMA,ALABAMA,52.1,515,5,5,10.5,133,sec,5,13,860,0.562,2073,0.477,989,0.352,730,0.784,572,0.276,32,2,14,11,1290,Alabama,,121.3,35.0,407,45.1,399,12.6,139,757,0.499,2008,0.44,884,0.396,795,0.743,591,0.294,,30.0,368,641,2594,9.9,237,0.367,737,0.319,235,1271,0.511,649,47.0,1125,0.544,13.6,374,74.2,636,2904,21.12,9.7,232,11.43,0.467,969,0.365,354,1104,0.575,635,53.0,1267,0.6,13.7,383,0.656,21
ARIZONA,ARIZONA,59.1,615,4,7,9.0,115,pac-12,5,15,970,0.55,2129,0.489,1041,0.367,782,0.719,562,0.264,33,1,15,8,1345,Arizona,,117.8,36.3,437,52.6,459,8.6,124,766,0.487,2062,0.423,872,0.257,530,0.711,377,0.183,,23.1,292,634,2384,9.4,232,0.382,787,0.334,263,1275,0.478,609,42.9,1058,0.515,16.2,446,73.3,539,2902,25.35,11.1,273,9.65,0.326,695,0.371,258,1434,0.546,783,57.1,1407,0.58,13.7,397,0.758,25
AUBURN,AUBURN,62.3,593,5,5,16.0,202,sec,5,13,871,0.541,2007,0.474,952,0.383,768,0.75,576,0.287,33,1,15,7,1320,Auburn,,117.6,33.3,378,42.9,316,8.4,105,756,0.436,1911,0.385,736,0.411,786,0.737,579,0.303,,30.4,381,629,2246,9.2,215,0.338,645,0.302,195,1266,0.427,541,47.7,1137,0.492,15.7,427,70.8,633,2747,23.0,10.4,243,7.82,0.377,756,0.353,267,1251,0.548,685,52.3,1249,0.579,12.8,348,0.788,26
BAYLOR,BAYLOR,53.7,490,5,4,8.8,106,big-12,7,11,786,0.557,1890,0.483,913,0.397,751,0.736,553,0.293,33,2,15,10,1350,Baylor,,117.6,36.0,377,52.9,452,9.6,113,671,0.514,1883,0.454,855,0.3,565,0.731,413,0.219,,27.4,296,632,2350,10.2,230,0.357,673,0.337,227,1210,0.519,628,45.4,967,0.546,15.5,395,66.9,546,2658,20.22,9.8,222,11.41,0.38,719,0.388,279,1171,0.541,634,54.6,1163,0.592,15.1,399,0.697,23
BOISE-STATE,BOISE-STATE,47.9,400,3,7,6.9,77,mwc,5,13,825,0.522,1846,0.452,835,0.368,680,0.735,500,0.271,32,3,13,10,1290,Boise State,,112.1,33.7,365,48.3,374,10.9,120,717,0.495,1770,0.438,775,0.319,565,0.72,407,0.23,,22.2,236,563,2161,8.5,185,0.371,656,0.311,204,1114,0.513,571,44.5,953,0.53,15.2,365,67.1,533,2426,13.84,8.5,184,7.44,0.401,741,0.345,256,1105,0.524,579,55.5,1190,0.559,14.1,357,0.688,22
BRIGHAM-YOUNG,BRIGHAM-YOUNG,63.2,613,7,3,7.7,99,big-12,8,10,914,0.551,2098,0.462,970,0.253,530,0.738,391,0.186,33,2,16,10,1320,Brigham Young,,116.9,32.8,394,47.2,392,7.1,73,807,0.48,1947,0.426,830,0.321,625,0.698,436,0.224,,24.7,300,503,2307,8.6,199,0.341,663,0.318,211,1284,0.482,619,45.8,1107,0.514,14.2,370,70.0,584,2701,20.36,8.5,196,8.42,0.507,1063,0.348,370,1035,0.58,600,54.2,1308,0.575,13.0,352,0.697,23
CLEMSON,CLEMSON,53.4,469,6,6,11.2,126,acc,9,11,871,0.539,1877,0.468,878,0.306,575,0.79,454,0.242,32,4,12,11,1290,Clemson,,113.7,27.7,295,44.1,349,6.8,76,769,0.487,1893,0.418,791,0.312,590,0.744,439,0.232,,25.2,294,508,2282,9.0,195,0.406,768,0.34,261,1125,0.471,530,47.7,1063,0.525,12.0,296,67.5,505,2477,14.91,6.6,144,8.82,0.402,755,0.354,267,1122,0.545,611,52.3,1166,0.576,13.1,325,0.656,21
COLGATE,COLGATE,57.0,515,5,10,10.1,119,patriot,2,16,944,0.539,1922,0.47,903,0.274,526,0.681,358,0.186,34,3,13,9,1360,Colgate,,107.5,25.2,277,53.3,427,7.1,84,822,0.467,1963,0.408,801,0.24,471,0.669,315,0.16,,24.2,301,487,2150,8.5,192,0.398,782,0.298,233,1181,0.481,568,47.9,1123,0.492,14.8,381,66.5,456,2431,0.07,9.6,217,-6.08,0.384,739,0.361,267,1183,0.538,636,52.1,1221,0.56,14.2,360,0.735,25
COLLEGE-OF-CHARLESTON,COLLEGE-OF-CHARLESTON,53.4,520,2,10,8.1,105,coastal,3,15,910,0.524,2200,0.443,974,0.271,597,0.72,430,0.195,34,2,13,7,1365,College of Charleston,,114.6,33.5,440,43.2,390,9.7,113,875,0.502,2052,0.44,903,0.278,571,0.708,404,0.197,,26.1,321,555,2466,8.8,209,0.371,761,0.336,256,1291,0.501,647,47.0,1196,0.531,14.5,393,70.0,536,2736,4.19,8.8,211,-2.87,0.472,1039,0.345,358,1161,0.531,616,53.0,1350,0.551,12.0,338,0.794,27
COLORADO,COLORADO,56.1,540,7,4,5.5,73,pac-12,7,13,932,0.553,1953,0.493,963,0.353,689,0.778,536,0.274,34,1,16,10,1375,Colorado,,113.6,32.2,345,43.3,386,9.3,126,725,0.493,2044,0.436,892,0.281,574,0.707,406,0.199,,24.2,298,608,2420,10.5,249,0.354,723,0.318,230,1321,0.501,662,44.5,1023,0.522,13.5,363,69.1,505,2696,16.02,8.5,202,7.9,0.304,594,0.394,234,1359,0.536,729,55.5,1277,0.591,15.9,431,0.706,24
COLORADO-STATE,COLORADO-STATE,66.9,627,7,4,8.6,109,mwc,8,10,854,0.554,1919,0.488,937,0.324,622,0.754,469,0.244,34,2,15,10,1370,Colorado State,,113.3,24.8,264,48.0,398,8.2,97,801,0.488,1919,0.432,829,0.314,603,0.746,450,0.234,,27.1,318,577,2324,7.9,182,0.34,653,0.331,216,1266,0.484,613,50.0,1119,0.527,15.3,399,66.9,580,2596,13.47,9.7,222,7.38,0.387,743,0.341,253,1176,0.582,684,50.0,1118,0.586,13.4,344,0.706,24
