assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
8,29,0.2,1,0.7,mac,2.2,11.9,67,1.1,0.596,115,0.504,58,0.13,15,0.667,10,33,5,,660,-1.5,5.2,29,0.7,55,11.9,nate-johnson-8,147,149,Guard,3.1,34,AKRON,0.435,50,0.42,21,8.6,96,0.602,21.3,33,65,0.569,37,12.1,,1.8,0.109,Nate Johnson
8,29,0.2,1,0.7,mac,2.2,11.9,67,1.1,0.596,115,0.504,58,0.13,15,0.667,10,33,5,,660,-1.5,5.2,29,0.7,55,11.9,nate-johnson-8,147,149,Guard,3.1,34,AKRON,0.435,50,0.42,21,8.6,96,0.602,21.3,33,65,0.569,37,12.1,,1.8,0.109,Nate Johnson
23.2,55,0.9,4,-0.9,mac,1.9,12,48,0.8,0.483,145,0.407,59,0.083,12,0.583,7,32,9,,466,-2.8,2,8,0.1,44,11.9,tavari-johnson-1,147,157,Guard,3.2,25,AKRON,0.434,63,0.349,22,7.1,56,0.488,21.4,41,82,0.451,37,21.3,,0.9,0.08,Tavari Johnson
23.2,55,0.9,4,-0.9,mac,1.9,12,48,0.8,0.483,145,0.407,59,0.083,12,0.583,7,32,9,,466,-2.8,2,8,0.1,44,11.9,tavari-johnson-1,147,157,Guard,3.2,25,AKRON,0.434,63,0.349,22,7.1,56,0.488,21.4,41,82,0.451,37,21.3,,0.9,0.08,Tavari Johnson
16.6,22,1,2,-10.1,mac,-1.2,14.2,30,0.3,0.462,52,0.442,23,0.385,20,0.55,11,22,0,,221,-8.9,2.6,5,0,26,8.9,isaiah-gray-1,59,65,Guard,2.5,10,AKRON,0.269,14,0.143,2,8.6,35,0.48,24.5,20,38,0.553,21,17.7,,0.3,0.049,Isaiah Gray
16.6,22,1,2,-10.1,mac,-1.2,14.2,30,0.3,0.462,52,0.442,23,0.385,20,0.55,11,22,0,,221,-8.9,2.6,5,0,26,8.9,isaiah-gray-1,59,65,Guard,2.5,10,AKRON,0.269,14,0.143,2,8.6,35,0.48,24.5,20,38,0.553,21,17.7,,0.3,0.049,Isaiah Gray
12.2,20,0,0,-2.1,mac,1.2,9.3,25,0.3,0.403,72,0.333,24,0.139,10,0.8,8,25,4,,295,-3.3,1.6,4,0,17,7,shammah-scott-1,66,68,Guard,1.8,9,AKRON,0.389,28,0.357,10,5.7,29,0.43,15.4,14,44,0.318,14,15.9,,0.3,0.041,Shammah Scott
12.2,20,0,0,-2.1,mac,1.2,9.3,25,0.3,0.403,72,0.333,24,0.139,10,0.8,8,25,4,,295,-3.3,1.6,4,0,17,7,shammah-scott-1,66,68,Guard,1.8,9,AKRON,0.389,28,0.357,10,5.7,29,0.43,15.4,14,44,0.318,14,15.9,,0.3,0.041,Shammah Scott
18.3,59,0,0,2.2,mac,1.1,8.8,45,0.8,0.584,196,0.469,92,0.184,36,0.806,29,34,0,,545,1.1,3.9,19,1.2,68,17.5,sharron-young-1,258,246,Guard,3.5,35,AKRON,0.566,111,0.405,45,6.4,64,0.605,16.8,43,85,0.553,47,22.3,,2,0.15,Sharron Young
18.3,59,0,0,2.2,mac,1.1,8.8,45,0.8,0.584,196,0.469,92,0.184,36,0.806,29,34,0,,545,1.1,3.9,19,1.2,68,17.5,sharron-young-1,258,246,Guard,3.5,35,AKRON,0.566,111,0.405,45,6.4,64,0.605,16.8,43,85,0.553,47,22.3,,2,0.15,Sharron Young
6.5,4,6,7,-1.3,mac,3.5,7.3,8,0.3,0.513,39,0.513,20,0.718,28,0.607,17,28,0,,128,-4.8,16.7,18,0.3,37,21,amani-lyles-1,57,60,Forward,3.7,8,AKRON,0.026,1,0,0,12,26,0.545,13.3,8,38,0.526,20,24.3,,0.6,0.188,Amani Lyles
6.5,4,6,7,-1.3,mac,3.5,7.3,8,0.3,0.513,39,0.513,20,0.718,28,0.607,17,28,0,,128,-4.8,16.7,18,0.3,37,21,amani-lyles-1,57,60,Forward,3.7,8,AKRON,0.026,1,0,0,12,26,0.545,13.3,8,38,0.526,20,24.3,,0.6,0.188,Amani Lyles
0,0,10.5,1,-0.4,mac,2.4,22.5,2,0,0.333,3,0.333,1,0,0,,0,3,0,,11,-2.8,0,0,0,0,8.4,james-okonkwo-1,2,2,Forward,0,0,AKRON,0,0,,0,10.6,2,0.333,0,0,3,0.333,1,13.7,,0,0.026,James Okonkwo
0,0,10.5,1,-0.4,mac,2.4,22.5,2,0,0.333,3,0.333,1,0,0,,0,3,0,,11,-2.8,0,0,0,0,8.4,james-okonkwo-1,2,2,Forward,0,0,AKRON,0,0,,0,10.6,2,0.333,0,0,3,0.333,1,13.7,,0,0.026,James Okonkwo
0,0,0,0,7.5,mac,0.1,0,0,0,0.75,8,0.5,4,0,0,,0,7,0,,18,7.3,0,0,0.1,2,25.5,bowen-hardman-1,12,8,Guard,0,0,AKRON,1,8,0.5,4,0,0,0.75,0,0,0,,0,23.3,,0.1,0.224,Bowen Hardman
0,0,0,0,7.5,mac,0.1,0,0,0,0.75,8,0.5,4,0,0,,0,7,0,,18,7.3,0,0,0.1,2,25.5,bowen-hardman-1,12,8,Guard,0,0,AKRON,1,8,0.5,4,0,0,0.75,0,0,0,,0,23.3,,0.1,0.224,Bowen Hardman
