,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
,8.0,29.0,0.2,1.0,0.7,mac,2.2,11.9,67.0,1.1,0.596,115.0,0.504,58.0,0.13,15.0,0.667,10.0,33.0,5.0,,660.0,-1.5,5.2,29.0,0.7,55.0,11.9,nate-johnson-8,147.0,149.0,Guard,3.1,34.0,,0.435,50.0,0.42,21.0,8.6,96.0,0.602,21.3,33.0,65.0,0.569,37.0,12.1,,1.8,0.109,Nate Johnson
,8.0,29.0,0.2,1.0,0.7,mac,2.2,11.9,67.0,1.1,0.596,115.0,0.504,58.0,0.13,15.0,0.667,10.0,33.0,5.0,,660.0,-1.5,5.2,29.0,0.7,55.0,11.9,nate-johnson-8,147.0,149.0,Guard,3.1,34.0,,0.435,50.0,0.42,21.0,8.6,96.0,0.602,21.3,33.0,65.0,0.569,37.0,12.1,,1.8,0.109,Nate Johnson
,23.2,55.0,0.9,4.0,-0.9,mac,1.9,12.0,48.0,0.8,0.483,145.0,0.407,59.0,0.083,12.0,0.583,7.0,32.0,9.0,,466.0,-2.8,2.0,8.0,0.1,44.0,11.9,tavari-johnson-1,147.0,157.0,Guard,3.2,25.0,,0.434,63.0,0.349,22.0,7.1,56.0,0.488,21.4,41.0,82.0,0.451,37.0,21.3,,0.9,0.08,Tavari Johnson
,23.2,55.0,0.9,4.0,-0.9,mac,1.9,12.0,48.0,0.8,0.483,145.0,0.407,59.0,0.083,12.0,0.583,7.0,32.0,9.0,,466.0,-2.8,2.0,8.0,0.1,44.0,11.9,tavari-johnson-1,147.0,157.0,Guard,3.2,25.0,,0.434,63.0,0.349,22.0,7.1,56.0,0.488,21.4,41.0,82.0,0.451,37.0,21.3,,0.9,0.08,Tavari Johnson
,16.6,22.0,1.0,2.0,-10.1,mac,-1.2,14.2,30.0,0.3,0.462,52.0,0.442,23.0,0.385,20.0,0.55,11.0,22.0,0.0,,221.0,-8.9,2.6,5.0,0.0,26.0,8.9,isaiah-gray-1,59.0,65.0,Guard,2.5,10.0,,0.269,14.0,0.143,2.0,8.6,35.0,0.48,24.5,20.0,38.0,0.553,21.0,17.7,,0.3,0.049,Isaiah Gray
,16.6,22.0,1.0,2.0,-10.1,mac,-1.2,14.2,30.0,0.3,0.462,52.0,0.442,23.0,0.385,20.0,0.55,11.0,22.0,0.0,,221.0,-8.9,2.6,5.0,0.0,26.0,8.9,isaiah-gray-1,59.0,65.0,Guard,2.5,10.0,,0.269,14.0,0.143,2.0,8.6,35.0,0.48,24.5,20.0,38.0,0.553,21.0,17.7,,0.3,0.049,Isaiah Gray
,12.2,20.0,0.0,0.0,-2.1,mac,1.2,9.3,25.0,0.3,0.403,72.0,0.333,24.0,0.139,10.0,0.8,8.0,25.0,4.0,,295.0,-3.3,1.6,4.0,0.0,17.0,7.0,shammah-scott-1,66.0,68.0,Guard,1.8,9.0,,0.389,28.0,0.357,10.0,5.7,29.0,0.43,15.4,14.0,44.0,0.318,14.0,15.9,,0.3,0.041,Shammah Scott
,12.2,20.0,0.0,0.0,-2.1,mac,1.2,9.3,25.0,0.3,0.403,72.0,0.333,24.0,0.139,10.0,0.8,8.0,25.0,4.0,,295.0,-3.3,1.6,4.0,0.0,17.0,7.0,shammah-scott-1,66.0,68.0,Guard,1.8,9.0,,0.389,28.0,0.357,10.0,5.7,29.0,0.43,15.4,14.0,44.0,0.318,14.0,15.9,,0.3,0.041,Shammah Scott
,18.3,59.0,0.0,0.0,2.2,mac,1.1,8.8,45.0,0.8,0.584,196.0,0.469,92.0,0.184,36.0,0.806,29.0,34.0,0.0,,545.0,1.1,3.9,19.0,1.2,68.0,17.5,sharron-young-1,258.0,246.0,Guard,3.5,35.0,,0.566,111.0,0.405,45.0,6.4,64.0,0.605,16.8,43.0,85.0,0.553,47.0,22.3,,2.0,0.15,Sharron Young
,18.3,59.0,0.0,0.0,2.2,mac,1.1,8.8,45.0,0.8,0.584,196.0,0.469,92.0,0.184,36.0,0.806,29.0,34.0,0.0,,545.0,1.1,3.9,19.0,1.2,68.0,17.5,sharron-young-1,258.0,246.0,Guard,3.5,35.0,,0.566,111.0,0.405,45.0,6.4,64.0,0.605,16.8,43.0,85.0,0.553,47.0,22.3,,2.0,0.15,Sharron Young
,6.5,4.0,6.0,7.0,-1.3,mac,3.5,7.3,8.0,0.3,0.513,39.0,0.513,20.0,0.718,28.0,0.607,17.0,28.0,0.0,,128.0,-4.8,16.7,18.0,0.3,37.0,21.0,amani-lyles-1,57.0,60.0,Forward,3.7,8.0,,0.026,1.0,0.0,0.0,12.0,26.0,0.545,13.3,8.0,38.0,0.526,20.0,24.3,,0.6,0.188,Amani Lyles
