,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
AKRON,AKRON,59.2,615,4,8,9.8,127,mac,1,17,915,0.557,2197,0.473,1039,0.259,570,0.753,429,0.195,,0,16,6,1365,Akron,,116.3,33.5,410,44.4,397,6.7,79,813,0.489,2089,0.428,895,0.326,682,0.723,493,0.236,,28.3,361,562,2534,9.7,241,0.382,799,0.314,251,1290,0.499,644,47.0,1174,0.525,15.1,428,72.4,609,2876,3.71,10.6,262,-4.36,0.461,1013,0.364,369,1184,0.566,670,53.0,1325,0.583,14.2,407,0.824,28
ALABAMA,ALABAMA,54.1,555,3,9,10.1,147,sec,5,13,996,0.563,2126,0.483,1026,0.401,853,0.716,611,0.287,,3,12,8,1330,Alabama,,118.7,34.7,426,43.8,418,12.2,140,801,0.479,2247,0.425,954,0.339,761,0.704,536,0.239,,29.2,411,687,2687,10.2,258,0.351,789,0.308,243,1458,0.488,711,46.0,1212,0.515,11.6,343,76.2,628,3007,26.04,7.9,200,16.35,0.462,983,0.35,344,1143,0.597,682,54.0,1422,0.594,14.3,422,0.758,25
ALABAMA-STATE,ALABAMA-STATE,45.6,412,10,6,8.1,98,swac,6,12,858,0.476,2228,0.406,904,0.29,646,0.689,445,0.2,,3,8,15,1405,Alabama State,,105.3,28.9,409,49.9,432,9.2,117,1006,0.502,1984,0.436,866,0.383,759,0.7,531,0.268,,30.4,374,560,2524,7.4,181,0.394,781,0.334,261,1203,0.503,605,52.1,1380,0.538,16.5,462,69.4,635,2567,-9.27,11.3,275,-9.04,0.428,953,0.329,314,1275,0.463,590,47.9,1267,0.506,11.1,317,0.571,20
AMERICAN,AMERICAN,52.4,426,10,5,5.3,63,patriot,5,13,769,0.521,1836,0.443,813,0.304,558,0.756,422,0.23,,2,14,12,1380,American,,105.1,24.4,262,50.2,413,9.3,94,810,0.511,1811,0.454,822,0.346,626,0.696,436,0.241,,27.2,288,535,2287,9.1,203,0.348,630,0.329,207,1181,0.521,615,51.6,1098,0.542,16.1,406,64.4,607,2334,-7.03,10.1,225,-6.56,0.449,824,0.347,286,1012,0.521,527,48.4,1031,0.555,15.2,376,0.647,22
ARIZONA,ARIZONA,56.7,554,5,6,12.0,146,big-12,6,14,930,0.529,2067,0.473,977,0.366,756,0.784,593,0.287,,3,13,12,1370,Arizona,,115.6,35.9,416,53.2,461,6.7,91,743,0.486,2088,0.415,867,0.292,609,0.714,435,0.208,,28.5,370,601,2463,9.1,218,0.419,875,0.336,294,1213,0.472,573,45.3,1113,0.518,14.4,400,70.2,566,2779,23.13,10.9,262,13.84,0.346,716,0.324,232,1351,0.551,745,54.7,1346,0.573,13.8,390,0.647,22
ARKANSAS,ARKANSAS,53.2,477,6,4,15.4,186,sec,10,8,861,0.527,1922,0.466,896,0.355,683,0.734,501,0.261,,4,14,13,1325,Arkansas,,108.3,27.6,304,48.6,406,7.1,86,799,0.483,1992,0.42,836,0.294,586,0.725,425,0.213,,28.3,340,571,2348,9.6,224,0.395,787,0.319,251,1205,0.485,585,49.4,1139,0.517,15.3,409,70.4,532,2528,16.67,10.8,251,11.21,0.367,706,0.333,235,1216,0.544,661,50.6,1165,0.563,14.6,385,0.606,20
AUBURN,AUBURN,55.5,544,2,8,16.5,204,sec,3,15,838,0.557,2031,0.483,980,0.335,681,0.74,504,0.248,,2,13,5,1325,Auburn,,121.3,34.3,385,40.2,313,7.5,90,736,0.46,1901,0.409,778,0.392,746,0.735,548,0.288,,30.3,364,578,2297,8.8,200,0.348,661,0.292,193,1240,0.472,585,47.4,1100,0.509,15.0,397,68.9,614,2767,29.63,10.1,230,15.39,0.406,824,0.368,303,1207,0.561,677,52.6,1223,0.588,11.5,305,0.848,28
BAYLOR,BAYLOR,53.9,482,9,3,8.7,95,big-12,10,10,767,0.518,1995,0.448,894,0.306,611,0.745,455,0.228,,3,13,14,1345,Baylor,,113.6,36.2,420,59.6,476,10.9,130,740,0.504,1841,0.433,798,0.331,610,0.697,425,0.231,,30.7,339,551,2282,8.9,197,0.405,746,0.35,261,1095,0.49,537,47.6,1079,0.535,16.5,420,66.0,538,2523,19.43,11.4,252,13.59,0.399,797,0.351,280,1198,0.513,614,52.4,1187,0.552,13.7,363,0.576,19
BRIGHAM-YOUNG,BRIGHAM-YOUNG,59.9,569,5,6,9.8,104,big-12,6,14,871,0.572,1970,0.482,950,0.302,594,0.705,419,0.213,,2,15,9,1345,Brigham Young,,117.3,33.3,366,52.2,429,8.5,87,733,0.506,1917,0.429,822,0.295,565,0.706,399,0.208,,26.1,307,546,2339,9.5,217,0.444,851,0.348,296,1066,0.493,526,45.7,1040,0.535,15.2,392,67.8,532,2672,19.77,10.4,236,9.68,0.483,952,0.371,353,1018,0.586,597,54.3,1237,0.593,15.1,400,0.727,24
BRYANT,BRYANT,49.5,509,7,10,14.5,205,america-east,2,14,954,0.52,2234,0.46,1028,0.299,667,0.717,478,0.214,,3,12,11,1365,Bryant,,111.7,34.9,456,42.9,388,5.5,80,850,0.472,2178,0.416,905,0.29,631,0.718,453,0.208,,28.4,378,583,2511,9.1,228,0.352,766,0.324,248,1412,0.465,657,46.6,1228,0.507,14.3,413,73.5,532,2800,-1.73,9.1,228,-7.6,0.354,790,0.337,266,1444,0.528,762,53.4,1410,0.549,13.8,408,0.676,23
