,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2025-26,26.4,143.0,2.0,18.0,19.9,acc,6.5,22.5,233.0,3.2,0.621,464.0,0.565,262.0,0.526,244.0,0.775,189.0,34.0,34.0,,1122.0,13.4,12.4,114.0,6.3,57.0,34.7,cameron-boozer-3,765.0,763.0,Forward,2.7,50.0,DUKE,0.274,127.0,0.409,52.0,17.7,347.0,0.66,12.0,79.0,337.0,0.623,210.0,29.6,,9.6,0.341,Cameron Boozer
2025-26,8.9,46.0,3.1,23.0,10.2,acc,3.8,10.8,95.0,2.1,0.546,381.0,0.425,162.0,0.27,103.0,0.874,90.0,34.0,34.0,,947.0,6.5,1.3,10.0,2.7,40.0,19.2,isaiah-evans-1,506.0,425.0,Guard,1.7,27.0,DUKE,0.661,252.0,0.365,92.0,6.4,105.0,0.588,8.3,39.0,129.0,0.543,70.0,24.9,,4.8,0.203,Isaiah Evans
2025-26,15.8,56.0,6.3,32.0,11.3,acc,5.8,18.2,109.0,1.8,0.624,181.0,0.602,109.0,0.669,121.0,0.694,84.0,29.0,28.0,,649.0,5.5,12.4,66.0,2.4,80.0,25.3,patrick-ngongba-2,310.0,316.0,Center,1.7,18.0,DUKE,0.16,29.0,0.276,8.0,15.5,175.0,0.65,13.7,38.0,152.0,0.664,101.0,21.5,,4.2,0.258,Patrick Ngongba
2025-26,18.8,88.0,0.3,2.0,6.0,acc,3.4,12.6,92.0,1.6,0.532,217.0,0.442,96.0,0.244,53.0,0.585,31.0,31.0,30.0,,788.0,2.6,3.1,20.0,1.5,53.0,13.1,caleb-foster-2,262.0,271.0,Guard,0.7,9.0,DUKE,0.447,97.0,0.402,39.0,8.2,112.0,0.541,12.0,33.0,120.0,0.475,57.0,17.6,,3.1,0.155,Caleb Foster
2025-26,21.2,94.0,0.5,3.0,6.2,acc,4.4,8.5,58.0,1.6,0.537,176.0,0.489,86.0,0.369,65.0,0.8,52.0,34.0,7.0,,740.0,1.8,2.5,15.0,1.4,51.0,14.5,cayden-boozer-1,241.0,260.0,Guard,2.2,27.0,DUKE,0.335,59.0,0.288,17.0,5.7,73.0,0.582,17.5,44.0,117.0,0.59,69.0,17.1,,3.0,0.164,Cayden Boozer
2025-26,7.3,35.0,1.8,11.0,5.1,acc,5.0,13.8,99.0,1.9,0.5,185.0,0.4,74.0,0.292,54.0,0.519,28.0,34.0,26.0,,778.0,0.1,4.1,26.0,0.4,65.0,10.5,dame-sarr-1,213.0,204.0,Guard,2.5,33.0,DUKE,0.638,118.0,0.314,37.0,9.2,125.0,0.506,15.3,38.0,67.0,0.552,37.0,16.1,,2.4,0.122,Dame Sarr
2025-26,9.3,38.0,0.4,2.0,6.4,acc,4.5,13.7,84.0,1.5,0.556,153.0,0.451,69.0,0.281,43.0,0.651,28.0,34.0,5.0,,665.0,1.9,6.1,33.0,1.1,60.0,12.9,nikolas-khamenia-1,198.0,196.0,Guard,2.0,22.0,DUKE,0.614,94.0,0.34,32.0,10.1,117.0,0.571,13.9,28.0,59.0,0.627,37.0,15.3,,2.6,0.156,Nikolas Khamenia
2025-26,14.6,60.0,3.6,19.0,12.3,acc,9.5,16.2,102.0,2.3,0.638,120.0,0.617,74.0,0.225,27.0,0.407,11.0,34.0,6.0,,679.0,2.8,11.7,65.0,1.1,91.0,19.2,maliq-brown-1,164.0,199.0,Forward,5.8,66.0,DUKE,0.242,29.0,0.172,5.0,14.1,167.0,0.617,22.7,39.0,91.0,0.758,69.0,12.7,,3.4,0.202,Maliq Brown
2025-26,6.4,13.0,0.0,0.0,5.1,acc,3.1,4.9,15.0,0.6,0.511,87.0,0.379,33.0,0.448,39.0,0.769,30.0,32.0,0.0,,329.0,2.0,5.2,14.0,0.9,24.0,14.0,darren-harris-1,119.0,111.0,Guard,2.0,11.0,DUKE,0.77,67.0,0.343,23.0,5.1,29.0,0.564,4.5,5.0,20.0,0.5,10.0,16.9,,1.5,0.182,Darren Harris
2025-26,7.8,2.0,0.0,0.0,7.8,acc,5.3,16.2,6.0,0.1,0.667,6.0,0.5,3.0,0.0,0.0,,0.0,14.0,0.0,,40.0,2.5,18.3,6.0,0.1,6.0,16.4,jack-scott-1,8.0,11.0,Guard,3.0,2.0,DUKE,0.333,2.0,1.0,2.0,17.2,12.0,0.667,14.3,1.0,4.0,0.25,1.0,8.8,,0.2,0.212,Jack Scott
