team_unique,overall_seed,seed,region,round_started
Duke,1,1,EAST,2
Arizona,2,1,WEST,2
Michigan,3,1,MIDWEST,2
Florida,4,1,SOUTH,2
Connecticut,5,2,EAST,2
Purdue,6,2,WEST,2
Iowa-State,7,2,MIDWEST,2
Houston,8,2,SOUTH,2
Michigan-State,9,3,EAST,2
Gonzaga,10,3,WEST,2
Virginia,11,3,MIDWEST,2
Illinois,12,3,SOUTH,2
Kansas,13,4,EAST,2
Arkansas,14,4,WEST,2
Alabama,15,4,MIDWEST,2
Nebraska,16,4,SOUTH,2
St-Johns-NY,17,5,EAST,2
Wisconsin,18,5,WEST,2
Texas-Tech,19,5,MIDWEST,2
Vanderbilt,20,5,SOUTH,2
Louisville,21,6,EAST,2
Brigham-Young,22,6,WEST,2
Tennessee,23,6,MIDWEST,2
North-Carolina,24,6,SOUTH,2
UCLA,25,7,EAST,2
Miami-FL,26,7,WEST,2
Kentucky,27,7,MIDWEST,2
Saint-Marys-CA,28,7,SOUTH,2
Ohio-State,29,8,EAST,2
Villanova,30,8,WEST,2
Georgia,31,8,MIDWEST,2
Clemson,32,8,SOUTH,2
Texas-Christian,33,9,EAST,2
Utah-State,34,9,WEST,2
Saint-Louis,35,9,MIDWEST,2
Iowa,36,9,SOUTH,2
Central-Florida,37,10,EAST,2
Missouri,38,10,WEST,2
Santa-Clara,39,10,MIDWEST,2
Texas-AM,40,10,SOUTH,2
South-Florida,41,11,EAST,2
Texas,42,11,WEST,1
North-Carolina-State,43,11,WEST,1
Miami-OH,44,11,MIDWEST,1
Southern-Methodist,45,11,MIDWEST,1
Virginia-Commonwealth,46,11,SOUTH,2
Northern-Iowa,47,12,EAST,2
High-Point,48,12,WEST,2
Akron,49,12,MIDWEST,2
McNeese-State,50,12,SOUTH,2
California-Baptist,51,13,EAST,2
Hawaii,52,13,WEST,2
Hofstra,53,13,MIDWEST,2
Troy,54,13,SOUTH,2
North-Dakota-State,55,14,EAST,2
Kennesaw-State,56,14,WEST,2
Wright-State,57,14,MIDWEST,2
Pennsylvania,58,14,SOUTH,2
Furman,59,15,EAST,2
Queens-NC,60,15,WEST,2
Tennessee-State,61,15,MIDWEST,2
Idaho,62,15,SOUTH,2
Siena,63,16,EAST,2
Long-Island-University,64,16,WEST,2
Maryland-Baltimore-County,65,16,MIDWEST,1
Howard,66,16,MIDWEST,1
Prairie-View,67,16,SOUTH,1
Lehigh,68,16,SOUTH,1
