,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2017-18,24.9,52.0,1.3,5.0,-2.2,big-east,2.2,13.3,48.0,0.6,0.391,124.0,0.379,47.0,0.508,63.0,0.524,33.0,,,,406.0,-4.4,1.1,4.0,-0.5,44.0,8.8,makai-ashton-langford-1,130.0,140.0,Guard,2.8,20.0,boston-college,0.202,25.0,0.12,3.0,7.1,52.0,0.422,21.8,43.0,99.0,0.444,44.0,24.3,,0.1,0.01,Makai Ashton-Langford,Boston College
2018-19,25.4,73.0,1.7,8.0,-2.4,big-east,1.9,10.1,47.0,0.7,0.409,127.0,0.346,44.0,0.181,23.0,0.652,15.0,,,,550.0,-4.3,0.2,1.0,-0.5,58.0,6.0,makai-ashton-langford-1,119.0,136.0,Guard,2.1,20.0,boston-college,0.409,52.0,0.308,16.0,5.0,48.0,0.431,28.1,54.0,75.0,0.373,28.0,17.4,,0.2,0.015,Makai Ashton-Langford,Boston College
2020-21,24.6,48.0,0.3,1.0,1.4,acc,1.8,12.9,43.0,0.2,0.467,122.0,0.418,51.0,0.385,47.0,0.66,31.0,,,,396.0,-0.4,1.9,7.0,0.6,50.0,15.9,makai-ashton-langford-1,145.0,155.0,Guard,3.7,26.0,boston-college,0.418,51.0,0.235,12.0,7.2,50.0,0.502,14.8,25.0,71.0,0.549,39.0,21.2,,0.8,0.083,Makai Ashton-Langford,Boston College
2021-22,20.4,112.0,1.1,10.0,2.1,acc,1.4,12.2,108.0,1.2,0.454,351.0,0.396,139.0,0.288,101.0,0.752,76.0,,,,1134.0,0.7,2.1,21.0,1.3,87.0,14.6,makai-ashton-langford-1,395.0,400.0,Guard,2.6,49.0,boston-college,0.399,140.0,0.293,41.0,6.9,129.0,0.495,14.9,70.0,211.0,0.464,98.0,21.7,,2.5,0.089,Makai Ashton-Langford,Boston College
2022-23,19.4,82.0,2.7,21.0,1.6,acc,1.7,10.6,79.0,1.1,0.454,314.0,0.408,128.0,0.239,75.0,0.88,66.0,,,,900.0,-0.1,2.5,19.0,0.7,71.0,15.4,makai-ashton-langford-1,351.0,348.0,Guard,3.0,45.0,boston-college,0.309,97.0,0.299,29.0,6.5,98.0,0.502,16.3,68.0,217.0,0.456,99.0,24.4,,1.8,0.079,Makai Ashton-Langford,Boston College
Career,22.0,367.0,1.5,45.0,0.6,,1.7,11.7,325.0,3.9,0.443,1038.0,0.394,409.0,0.298,309.0,0.715,221.0,,,,3386.0,-1.1,1.8,52.0,1.5,310.0,12.9,makai-ashton-langford-1,1140.0,1180.0,Guard,2.8,160.0,boston-college,0.352,365.0,0.277,101.0,6.5,377.0,0.481,18.0,260.0,673.0,0.458,308.0,22.0,,5.4,0.064,Makai Ashton-Langford,Boston College
2021-22,15.6,89.0,0.6,6.0,2.9,acc,2.0,9.9,88.0,1.2,0.564,259.0,0.463,120.0,0.282,73.0,0.712,52.0,,,,1137.0,0.9,1.8,18.0,1.6,77.0,14.6,jaeden-zackery-1,344.0,332.0,Guard,3.1,57.0,boston-college,0.421,109.0,0.477,52.0,5.6,106.0,0.586,18.6,67.0,150.0,0.453,68.0,16.6,,2.9,0.101,Jaeden Zackery,Boston College
2022-23,15.8,82.0,0.6,5.0,0.2,acc,1.1,8.6,73.0,1.0,0.468,269.0,0.413,111.0,0.331,89.0,0.809,72.0,,,,1027.0,-0.9,3.0,26.0,1.0,72.0,12.9,jaeden-zackery-1,324.0,330.0,Guard,2.6,44.0,boston-college,0.327,88.0,0.341,30.0,5.8,99.0,0.52,16.8,63.0,181.0,0.448,81.0,19.2,,2.0,0.076,Jaeden Zackery,Boston College
Career,15.7,171.0,0.6,11.0,1.6,,1.6,9.3,161.0,2.2,0.515,528.0,0.438,231.0,0.307,162.0,0.765,124.0,,,,2164.0,0.1,2.4,44.0,2.6,149.0,13.8,jaeden-zackery-1,668.0,662.0,Guard,2.8,101.0,boston-college,0.373,197.0,0.416,82.0,5.7,205.0,0.552,17.7,130.0,331.0,0.45,149.0,17.8,,4.8,0.089,Jaeden Zackery,Boston College
2019-20,9.4,1.0,5.2,1.0,-4.1,sec,0.0,48.3,9.0,0.0,0.438,8.0,0.375,3.0,0.25,2.0,1.0,2.0,,,,21.0,-4.0,17.6,3.0,0.0,4.0,18.5,quinten-post-1,9.0,10.0,Forward,0.0,0.0,boston-college,0.375,3.0,0.333,1.0,33.7,12.0,0.503,25.1,3.0,5.0,0.4,2.0,28.6,,0.1,0.121,Quinten Post,Boston College
2020-21,8.8,12.0,6.5,15.0,1.1,sec,2.4,16.7,41.0,0.5,0.476,82.0,0.415,34.0,0.171,14.0,0.571,8.0,,,,269.0,-1.3,10.2,23.0,0.1,38.0,13.5,quinten-post-1,86.0,87.0,Forward,1.8,8.0,boston-college,0.488,40.0,0.25,10.0,13.6,64.0,0.485,21.3,24.0,42.0,0.571,24.0,21.1,,0.6,0.085,Quinten Post,Boston College
2021-22,8.0,23.0,5.6,31.0,2.8,acc,1.2,19.6,102.0,0.9,0.526,231.0,0.502,116.0,0.294,68.0,0.721,49.0,,,,664.0,1.6,11.0,64.0,1.2,81.0,21.0,quinten-post-1,292.0,279.0,Forward,1.7,19.0,boston-college,0.139,32.0,0.344,11.0,15.1,166.0,0.555,16.0,50.0,199.0,0.528,105.0,24.7,,2.2,0.13,Quinten Post,Boston College
2022-23,15.2,27.0,4.3,17.0,5.4,acc,0.4,19.7,75.0,0.5,0.595,195.0,0.538,105.0,0.246,48.0,0.854,41.0,,,,461.0,4.9,6.9,27.0,1.5,45.0,25.8,quinten-post-1,273.0,241.0,Forward,0.5,4.0,boston-college,0.256,50.0,0.44,22.0,13.3,102.0,0.627,13.8,35.0,145.0,0.572,83.0,28.9,,2.0,0.172,Quinten Post,Boston College
Career,10.5,63.0,5.3,64.0,3.2,,1.1,19.5,227.0,2.0,0.543,516.0,0.5,258.0,0.256,132.0,0.758,100.0,,,,1415.0,2.1,9.6,117.0,2.8,168.0,21.1,quinten-post-1,660.0,616.0,Forward,1.3,31.0,boston-college,0.242,125.0,0.352,44.0,14.5,344.0,0.57,16.2,112.0,391.0,0.547,214.0,25.4,,4.8,0.135,Quinten Post,Boston College
2022-23,9.5,24.0,5.0,22.0,2.5,acc,2.0,17.4,75.0,0.7,0.569,124.0,0.548,68.0,0.476,59.0,0.78,46.0,,,,522.0,0.5,10.9,48.0,1.2,81.0,19.5,devin-mcglockton-1,187.0,191.0,Forward,1.7,15.0,boston-college,0.097,12.0,0.417,5.0,14.1,123.0,0.615,16.5,30.0,112.0,0.563,63.0,18.4,,2.0,0.15,Devin McGlockton,Boston College
