,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
ABILENE-CHRISTIAN/MEN,ABILENE-CHRISTIAN/MEN,58.2,403,6,4,7.3,61,wac,7,5,552,0.525,1493,0.463,692,0.313,467,0.711,332,0.222,25,3,9,12,1000,Abilene Christian,,106.5,29.2,256,52.1,308,8.3,82,620,0.524,1267,0.466,591,0.452,573,0.721,413,0.326,,27.2,206,468,1741,8.2,146,0.341,432,0.338,146,835,0.533,445,50.6,826,0.566,22.6,449,71.3,513,1900,-2.21,12.9,230,0.32,0.342,510,0.361,184,983,0.517,508,49.4,808,0.554,16.0,326,0.52,13
AIR-FORCE/MEN,AIR-FORCE/MEN,64.3,414,7,3,11.6,115,mwc,10,4,612,0.544,1387,0.464,644,0.308,427,0.712,304,0.219,27,7,10,14,1090,Air Force,,104.9,22.0,178,42.1,270,9.9,75,631,0.491,1448,0.443,642,0.354,512,0.752,385,0.266,,29.2,252,456,1808,8.3,143,0.317,459,0.303,139,989,0.509,503,52.8,883,0.535,14.8,294,63.5,457,1814,2.28,9.1,157,2.05,0.453,628,0.354,222,759,0.556,422,47.2,790,0.571,16.5,315,0.481,13
AKRON/MEN,AKRON/MEN,52.9,343,4,5,7.5,71,mac,3,10,664,0.513,1491,0.435,648,0.332,495,0.721,357,0.239,26,1,12,8,1045,Akron,,108.6,31.0,278,48.7,297,9.9,82,619,0.479,1447,0.422,610,0.268,388,0.722,280,0.194,,25.6,228,471,1667,8.5,147,0.345,499,0.335,167,948,0.467,443,47.3,847,0.511,17.0,333,66.6,409,1888,4.85,9.3,162,-1.32,0.446,665,0.353,235,826,0.5,413,52.7,942,0.547,14.5,293,0.692,18
ALABAMA/MEN,ALABAMA/MEN,54.2,388,2,8,11.3,131,sec,1,12,829,0.53,1605,0.446,716,0.384,616,0.722,445,0.277,26,0,12,4,1060,Alabama,,110.4,32.8,325,44.3,278,12.2,103,666,0.412,1695,0.37,627,0.322,546,0.716,391,0.231,,28.0,323,529,1786,9.7,189,0.317,537,0.263,141,1158,0.42,486,46.2,989,0.457,13.7,311,73.3,483,2145,23.56,8.1,158,9.75,0.475,762,0.352,268,843,0.531,448,53.8,1154,0.565,16.4,371,0.846,22
ALABAMA-AM/MEN,ALABAMA-AM/MEN,50.4,335,7,3,11.9,102,swac,6,7,566,0.501,1506,0.442,665,0.322,485,0.654,317,0.21,26,7,8,15,1056,Alabama A&M,,98.4,28.8,256,55.6,352,8.8,90,632,0.508,1460,0.434,633,0.401,585,0.706,413,0.283,,36.1,320,449,1895,10.9,203,0.411,600,0.36,216,860,0.485,417,53.7,952,0.545,19.7,427,70.4,490,1827,-11.06,11.8,220,-5.97,0.321,484,0.372,180,1022,0.475,485,46.3,822,0.526,18.3,389,0.423,11
ALABAMA-STATE/MEN,ALABAMA-STATE/MEN,44.5,261,16,2,9.0,92,swac,7,6,623,0.428,1548,0.379,586,0.325,503,0.73,367,0.237,26,2,5,18,1045,Alabama State,,93.3,31.4,317,45.7,314,13.3,140,691,0.497,1573,0.437,687,0.343,539,0.683,368,0.234,,34.5,328,433,1932,9.5,173,0.352,554,0.343,190,1019,0.488,497,52.0,1019,0.528,14.8,318,69.5,478,1693,-14.97,8.3,150,-4.93,0.319,494,0.312,154,1054,0.41,432,48.0,940,0.474,16.0,340,0.308,8
ALBANY-NY/MEN,ALBANY-NY/MEN,50.2,328,14,2,4.7,49,america-east,11,2,641,0.476,1593,0.411,654,0.315,501,0.709,355,0.223,28,6,4,21,1125,Albany (NY),,98.1,29.4,297,52.9,401,11.0,104,713,0.548,1544,0.491,758,0.374,578,0.723,418,0.271,,27.3,241,463,2111,9.7,185,0.328,507,0.349,177,1037,0.56,581,50.4,954,0.58,15.4,331,67.8,525,1871,-14.58,8.3,159,-3.85,0.405,645,0.322,208,948,0.47,446,49.6,938,0.511,17.0,374,0.25,7
ALCORN-STATE/MEN,ALCORN-STATE/MEN,40.3,239,9,7,7.8,63,swac,2,11,549,0.442,1488,0.399,593,0.341,508,0.724,368,0.247,25,1,6,11,1021,Alcorn State,,97.3,35.0,323,60.3,372,9.6,100,599,0.524,1358,0.454,617,0.399,542,0.677,367,0.27,,31.3,250,439,1790,8.0,138,0.407,553,0.342,189,805,0.532,428,49.3,849,0.554,18.4,365,67.7,484,1682,-8.79,11.2,193,-4.47,0.302,449,0.285,128,1039,0.448,465,50.7,872,0.486,15.6,320,0.56,14
AMERICAN/MEN,AMERICAN/MEN,57.2,365,7,8,11.0,100,patriot,8,7,575,0.561,1291,0.494,638,0.286,369,0.71,262,0.203,26,4,7,11,1045,American,,103.3,26.5,188,48.4,297,7.6,61,522,0.516,1352,0.454,614,0.314,425,0.72,306,0.226,,27.8,221,393,1701,13.0,215,0.331,447,0.374,167,905,0.494,447,49.3,743,0.547,17.2,322,63.4,388,1711,-7.02,11.7,194,-7.41,0.376,485,0.357,173,806,0.577,465,50.7,763,0.583,20.5,378,0.577,15
APPALACHIAN-STATE/MEN,APPALACHIAN-STATE/MEN,51.4,355,6,5,12.8,121,sun-belt,7,7,731,0.505,1571,0.44,691,0.293,461,0.677,312,0.199,27,6,9,13,1090,Appalachian State,,102.8,25.6,243,50.8,318,6.2,59,708,0.461,1576,0.397,626,0.241,380,0.718,273,0.173,,26.9,269,436,1725,8.9,165,0.399,629,0.318,200,947,0.45,426,50.1,977,0.491,16.9,357,67.9,368,1900,-1.22,10.0,185,-0.34,0.396,622,0.331,206,949,0.511,485,49.9,974,0.531,14.6,306,0.519,14
