,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2018-19,10.4,5.0,0.0,0.0,-10.0,southland,-3.9,16.6,11.0,0.2,0.5,17.0,0.412,7.0,0.176,3.0,0.667,2.0,,,,84.0,-6.1,10.1,7.0,0.0,7.0,8.9,tobias-cameron-1,19.0,22.0,Guard,1.4,2.0,abilene-christian,0.647,11.0,0.273,3.0,13.3,18.0,0.516,30.3,8.0,6.0,0.667,4.0,16.4,,0.2,0.072,Tobias Cameron,Abilene Christian
2019-20,20.4,15.0,0.9,1.0,-1.1,southland,0.9,15.7,17.0,0.3,0.5,38.0,0.447,17.0,0.289,11.0,0.909,10.0,,,,140.0,-2.0,9.0,11.0,0.3,25.0,16.8,tobias-cameron-1,48.0,54.0,Guard,2.4,6.0,abilene-christian,0.553,21.0,0.19,4.0,12.1,28.0,0.555,17.2,9.0,17.0,0.765,13.0,18.2,,0.6,0.182,Tobias Cameron,Abilene Christian
2020-21,25.8,40.0,1.8,4.0,6.3,southland,4.6,12.8,29.0,0.8,0.554,56.0,0.464,26.0,0.304,17.0,0.706,12.0,,,,267.0,1.7,7.4,18.0,0.7,36.0,18.9,tobias-cameron-1,74.0,91.0,Guard,3.7,18.0,abilene-christian,0.607,34.0,0.294,10.0,10.0,47.0,0.577,15.8,12.0,22.0,0.727,16.0,13.6,,1.6,0.233,Tobias Cameron,Abilene Christian
2021-22,16.9,63.0,0.8,4.0,0.6,wac,0.1,15.4,81.0,1.4,0.521,170.0,0.465,79.0,0.488,83.0,0.771,64.0,,,,696.0,0.5,8.0,49.0,1.5,82.0,16.5,tobias-cameron-1,241.0,260.0,Guard,2.4,30.0,abilene-christian,0.365,62.0,0.306,19.0,11.4,130.0,0.575,17.7,45.0,108.0,0.556,60.0,17.8,,2.8,0.163,Tobias Cameron,Abilene Christian
2022-23,18.9,65.0,1.7,9.0,1.4,wac,0.0,17.4,82.0,1.2,0.63,162.0,0.543,88.0,0.42,68.0,0.824,56.0,,,,623.0,1.5,6.6,36.0,1.5,64.0,20.1,tobias-cameron-1,260.0,263.0,Guard,2.8,31.0,abilene-christian,0.377,61.0,0.459,28.0,11.6,118.0,0.669,23.0,58.0,101.0,0.594,60.0,19.8,,2.7,0.173,Tobias Cameron,Abilene Christian
Career,18.9,188.0,1.2,18.0,1.1,,0.6,15.8,220.0,3.8,0.562,443.0,0.49,217.0,0.411,182.0,0.791,144.0,,,,1810.0,0.5,7.6,121.0,4.1,214.0,17.8,tobias-cameron-1,642.0,690.0,Guard,2.7,87.0,abilene-christian,0.427,189.0,0.339,64.0,11.4,341.0,0.606,20.0,132.0,254.0,0.602,153.0,17.8,,7.9,0.174,Tobias Cameron,Abilene Christian
2021-22,2.0,1.0,0.9,1.0,0.7,wac,-1.8,9.2,10.0,0.0,0.573,41.0,0.512,21.0,0.585,24.0,0.833,20.0,,,,130.0,2.5,4.3,5.0,0.3,8.0,19.8,aliabdou-dibba-1,67.0,57.0,Guard,2.8,6.0,abilene-christian,0.366,15.0,0.333,5.0,6.7,15.0,0.639,21.1,14.0,26.0,0.615,16.0,26.0,,0.3,0.096,Ali Abdou Dibba,Abilene Christian
2022-23,8.5,21.0,0.5,2.0,-1.0,wac,-1.5,12.8,48.0,0.8,0.49,196.0,0.485,95.0,0.301,59.0,0.746,44.0,,,,495.0,0.5,6.0,26.0,0.8,28.0,18.1,aliabdou-dibba-1,236.0,215.0,Guard,2.9,26.0,abilene-christian,0.056,11.0,0.182,2.0,9.1,74.0,0.527,10.8,27.0,185.0,0.503,93.0,24.8,,1.6,0.133,Ali Abdou Dibba,Abilene Christian
Career,7.1,22.0,0.6,3.0,-0.7,,-1.6,12.0,58.0,0.9,0.504,237.0,0.489,116.0,0.35,83.0,0.771,64.0,,,,625.0,0.9,5.6,31.0,1.1,36.0,18.5,aliabdou-dibba-1,303.0,272.0,Guard,2.9,32.0,abilene-christian,0.11,26.0,0.269,7.0,8.6,89.0,0.548,12.9,41.0,211.0,0.517,109.0,25.1,,2.0,0.125,Ali Abdou Dibba,Abilene Christian
2020-21,11.6,12.0,1.2,2.0,4.5,southland,3.2,16.2,27.0,0.5,0.56,58.0,0.517,30.0,0.328,19.0,0.684,13.0,,,,197.0,1.3,7.8,14.0,0.4,28.0,15.9,immanuel-allen-1,78.0,74.0,Guard,1.4,5.0,abilene-christian,0.224,13.0,0.385,5.0,11.9,41.0,0.582,16.2,13.0,45.0,0.556,25.0,19.4,,0.9,0.186,Immanuel Allen,Abilene Christian
