,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2024-25,19.4,118.0,1.9,18.0,2.2,mac,1.1,14.3,136.0,1.8,0.496,376.0,0.447,168.0,0.346,130.0,0.792,103.0,34.0,33.0,,1020.0,1.1,3.8,35.0,2.4,72.0,19.5,nate-johnson-8,476.0,482.0,Guard,3.2,60.0,AKRON,0.322,121.0,0.306,37.0,9.2,171.0,0.544,12.4,62.0,255.0,0.514,131.0,23.3,,4.2,0.163,Nate Johnson
2024-25,28.2,133.0,1.3,10.0,1.0,mac,-1.1,7.8,61.0,1.0,0.539,362.0,0.461,167.0,0.157,57.0,0.912,52.0,34.0,34.0,,840.0,2.1,0.5,4.0,1.9,58.0,17.7,tavari-johnson-1,442.0,435.0,Guard,1.8,27.0,AKRON,0.395,143.0,0.392,56.0,4.2,65.0,0.568,15.8,73.0,219.0,0.507,111.0,26.1,,2.9,0.138,Tavari Johnson
2024-25,16.5,84.0,0.3,2.0,0.4,mac,0.3,15.0,116.0,1.3,0.569,238.0,0.504,120.0,0.303,72.0,0.778,56.0,34.0,34.0,,826.0,0.1,5.7,42.0,1.6,66.0,16.7,isaiah-gray-1,327.0,334.0,Guard,2.4,36.0,AKRON,0.353,84.0,0.369,31.0,10.4,158.0,0.601,18.6,62.0,154.0,0.578,89.0,19.2,,2.9,0.141,Isaiah Gray
2024-25,17.9,91.0,1.8,14.0,3.2,mac,0.8,12.2,92.0,1.1,0.549,233.0,0.451,105.0,0.288,67.0,0.791,53.0,33.0,1.0,,804.0,2.4,3.2,23.0,2.1,43.0,17.3,shammah-scott-1,309.0,314.0,Guard,1.9,27.0,AKRON,0.532,124.0,0.371,46.0,7.8,115.0,0.583,11.1,33.0,109.0,0.541,59.0,17.6,,3.2,0.158,Shammah Scott
2024-25,18.3,59.0,0.0,0.0,2.3,mac,1.2,8.8,45.0,0.8,0.584,196.0,0.469,92.0,0.184,36.0,0.806,29.0,34.0,0.0,,545.0,1.1,3.9,19.0,1.2,68.0,17.5,sharron-young-1,258.0,246.0,Guard,3.5,35.0,AKRON,0.566,111.0,0.405,45.0,6.4,64.0,0.605,16.8,43.0,85.0,0.553,47.0,22.3,,2.0,0.15,Sharron Young
2024-25,13.7,48.0,7.1,40.0,4.0,mac,1.8,19.6,109.0,1.2,0.63,177.0,0.576,102.0,0.282,50.0,0.62,31.0,33.0,7.0,,595.0,2.1,12.4,66.0,1.6,78.0,22.7,amani-lyles-1,254.0,261.0,Forward,1.9,21.0,AKRON,0.333,59.0,0.322,19.0,16.1,175.0,0.633,16.3,39.0,118.0,0.703,83.0,19.1,,2.8,0.189,Amani Lyles
2024-25,4.2,16.0,5.5,32.0,-0.6,mac,0.1,26.8,155.0,1.3,0.599,142.0,0.599,85.0,0.711,101.0,0.673,68.0,34.0,27.0,,618.0,-0.7,16.8,93.0,1.5,96.0,21.0,james-okonkwo-1,238.0,253.0,Forward,1.7,19.0,AKRON,0.0,0.0,,0.0,21.9,248.0,0.626,18.5,43.0,142.0,0.599,85.0,17.9,,2.8,0.181,James Okonkwo
2024-25,1.2,4.0,0.6,3.0,-1.1,mac,-2.4,7.1,35.0,0.5,0.615,178.0,0.433,77.0,0.09,16.0,0.625,10.0,34.0,3.0,,526.0,1.3,0.2,1.0,1.1,21.0,13.1,bowen-hardman-1,229.0,169.0,Guard,0.6,6.0,AKRON,0.921,164.0,0.396,65.0,3.7,36.0,0.617,4.1,8.0,14.0,0.857,12.0,17.5,,1.5,0.117,Bowen Hardman
2024-25,9.3,37.0,0.2,1.0,-0.6,mac,-0.9,7.1,41.0,0.7,0.552,183.0,0.404,74.0,0.033,6.0,0.833,5.0,33.0,21.0,,618.0,0.3,4.0,22.0,1.1,45.0,12.3,seth-wilson-1,207.0,193.0,Guard,2.0,22.0,AKRON,0.836,153.0,0.353,54.0,5.6,63.0,0.557,8.4,17.0,30.0,0.667,20.0,15.6,,1.8,0.116,Seth Wilson
2024-25,7.8,13.0,1.2,3.0,-3.0,mac,-0.3,19.9,48.0,0.4,0.69,42.0,0.69,29.0,0.31,13.0,0.308,4.0,31.0,3.0,,258.0,-2.7,14.3,33.0,0.5,53.0,13.1,marvin-musiime-kamali-1,62.0,73.0,Forward,0.6,3.0,AKRON,0.0,0.0,,0.0,17.1,81.0,0.643,19.9,12.0,42.0,0.69,29.0,11.1,,0.9,0.132,Marvin Musiime-Kamali
