,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
AKRON,AKRON,57.5,627,3,9,9.1,105,mac,1,17,908,0.588,2169,0.503,1090,0.277,601,0.754,453,0.209,,0,15,5,1360,Akron,,123.1,34.0,386,51.4,449,8.0,95,749,0.498,2074,0.421,874,0.288,597,0.724,432,0.208,,29.3,376,531,2499,8.7,212,0.441,914,0.349,319,1160,0.478,555,46.5,1125,0.53,16.3,460,71.8,536,3004,9.05,10.5,256,-3.32,0.451,979,0.379,371,1190,0.604,719,53.5,1294,0.612,13.2,372,0.853,29
ALABAMA,ALABAMA,53.5,516,3,7,11.3,162,sec,5,13,909,0.554,2108,0.458,965,0.372,784,0.765,600,0.285,,3,12,9,1290,Alabama,,122.0,31.8,391,46.7,446,12.1,118,837,0.492,2205,0.433,955,0.327,720,0.697,502,0.228,,32.8,443,635,2671,8.5,205,0.351,773,0.335,259,1432,0.486,696,49.6,1280,0.524,10.7,304,74.6,593,2935,22.7,8.6,206,14.45,0.537,1131,0.358,405,977,0.573,560,50.4,1300,0.592,11.2,313,0.719,23
ARIZONA,ARIZONA,55.4,576,1,9,10.8,144,big-12,2,16,1012,0.551,2069,0.502,1039,0.429,887,0.734,651,0.315,,1,16,2,1365,Arizona,,120.3,38.1,434,48.9,408,8.3,126,706,0.45,2129,0.392,834,0.277,590,0.715,422,0.198,,26.9,372,669,2339,8.4,205,0.372,792,0.314,249,1337,0.438,585,42.7,1078,0.485,14.5,407,71.3,544,2929,29.93,10.9,266,12.58,0.268,555,0.36,200,1514,0.554,839,57.3,1446,0.588,12.9,368,0.941,32
ARKANSAS,ARKANSAS,52.5,557,5,5,13.0,169,sec,5,13,821,0.563,2124,0.5,1061,0.367,779,0.747,582,0.274,,1,17,8,1340,Arkansas,,122.5,32.6,370,49.7,477,6.8,96,765,0.515,2108,0.455,960,0.316,666,0.713,475,0.225,,31.5,377,599,2648,6.8,164,0.382,806,0.314,253,1302,0.543,707,48.9,1142,0.546,13.7,385,72.4,561,2972,22.1,10.0,243,12.28,0.331,704,0.381,268,1420,0.558,793,51.1,1191,0.596,10.6,296,0.758,25
BRIGHAM-YOUNG,BRIGHAM-YOUNG,45.4,459,6,3,11.9,151,big-12,9,9,881,0.547,2117,0.477,1010,0.342,723,0.746,539,0.255,,3,12,11,1365,Brigham Young,,118.7,34.6,421,54.3,501,7.9,101,797,0.512,2083,0.443,922,0.289,602,0.713,429,0.206,,29.3,365,628,2561,8.9,214,0.392,816,0.353,288,1267,0.5,634,47.2,1162,0.541,14.3,396,70.5,536,2853,21.05,10.2,245,12.46,0.398,842,0.349,294,1275,0.562,716,52.8,1302,0.58,13.0,369,0.676,23
CALIFORNIA-BAPTIST,CALIFORNIA-BAPTIST,40.3,332,7,7,7.5,93,wac,5,13,835,0.487,1899,0.433,823,0.367,696,0.716,498,0.262,,0,15,8,1295,California Baptist,,107.4,38.1,448,45.9,347,9.6,125,729,0.464,1816,0.416,756,0.368,669,0.723,484,0.267,,27.3,313,584,2169,10.0,219,0.322,584,0.296,173,1232,0.473,583,44.8,1042,0.508,14.8,372,67.5,597,2347,2.54,8.0,174,-2.92,0.318,603,0.337,203,1296,0.478,620,55.2,1283,0.526,15.0,395,0.75,24
CLEMSON,CLEMSON,50.2,434,5,6,9.1,96,acc,6,12,850,0.526,1906,0.453,864,0.371,708,0.726,514,0.27,,3,13,10,1370,Clemson,,112.4,28.1,316,46.4,360,10.3,112,809,0.489,1851,0.419,776,0.331,613,0.747,458,0.247,,25.7,294,618,2269,8.4,189,0.429,795,0.326,259,1056,0.49,517,48.6,1103,0.53,15.5,392,65.5,545,2521,17.0,9.6,215,9.59,0.429,818,0.341,279,1088,0.538,585,51.4,1166,0.562,12.5,319,0.706,24
CONNECTICUT,CONNECTICUT,65.0,625,2,9,15.2,179,big-east,3,17,848,0.553,1994,0.482,962,0.3,598,0.716,428,0.215,,2,15,5,1370,Connecticut,,116.5,35.7,395,48.5,359,9.7,115,711,0.457,1842,0.402,740,0.402,740,0.719,532,0.289,,28.7,341,584,2214,8.8,200,0.362,667,0.303,202,1175,0.458,538,45.8,1052,0.505,15.7,408,66.0,612,2635,22.93,10.3,234,10.55,0.403,804,0.352,283,1190,0.571,679,54.2,1243,0.578,14.3,380,0.853,29
DUKE,DUKE,59.2,576,1,10,10.4,111,acc,1,17,946,0.568,1986,0.49,973,0.378,750,0.724,543,0.273,,0,15,2,1360,Duke,,122.6,38.1,424,51.4,396,9.3,103,689,0.462,1963,0.392,770,0.237,466,0.717,334,0.17,,24.8,312,617,2147,9.4,215,0.457,897,0.304,273,1066,0.466,497,42.2,1001,0.491,15.9,414,67.1,534,2798,31.57,11.6,265,12.43,0.444,881,0.351,309,1105,0.601,664,57.8,1370,0.597,13.3,358,0.941,32
FLORIDA,FLORIDA,54.0,549,2,8,12.4,167,sec,2,16,967,0.535,2125,0.478,1016,0.391,830,0.71,589,0.277,,1,14,7,1320,Florida,,119.8,43.2,532,44.5,368,7.2,96,700,0.463,2025,0.408,827,0.34,689,0.727,501,0.247,,24.8,319,654,2376,9.2,219,0.337,683,0.324,221,1342,0.452,606,40.5,1019,0.505,13.5,368,72.5,586,2864,27.92,9.2,221,13.14,0.371,789,0.308,243,1336,0.579,773,59.5,1499,0.568,13.5,394,0.788,26
